chapitre,sens,annee,valeur,poids,edition
"Fonte, fer et acier",export,2021,82161,215079,2025
"Fonte, fer et acier",export,2022,96708,212067,2025
"Fonte, fer et acier",export,2023,115607,158492,2025
"Fonte, fer et acier",export,2024,89308,223670,2025
"Fonte, fer et acier",export,2025,94268,247984,2025
"Ouvrages en fonte, fer ou acier",export,2021,10278,16271,2025
"Ouvrages en fonte, fer ou acier",export,2022,12510,14466,2025
"Ouvrages en fonte, fer ou acier",export,2023,13484,16056,2025
"Ouvrages en fonte, fer ou acier",export,2024,25925,19633,2025
"Ouvrages en fonte, fer ou acier",export,2025,39719,18895,2025
Cuivre et ouvrages en cuivre,export,2021,5874,41807,2025
Cuivre et ouvrages en cuivre,export,2022,8966,7354,2025
Cuivre et ouvrages en cuivre,export,2023,8994,2813,2025
Cuivre et ouvrages en cuivre,export,2024,12202,3353,2025
Cuivre et ouvrages en cuivre,export,2025,14821,3954,2025
Nickel et ouvrages en nickel,export,2021,23,9,2025
Nickel et ouvrages en nickel,export,2022,,,2025
Nickel et ouvrages en nickel,export,2023,4,0,2025
Nickel et ouvrages en nickel,export,2024,15,1,2025
Nickel et ouvrages en nickel,export,2025,232,3,2025
Aluminium et ouvrages en aluminium,export,2021,3191,9392,2025
Aluminium et ouvrages en aluminium,export,2022,6685,14215,2025
Aluminium et ouvrages en aluminium,export,2023,7848,11880,2025
Aluminium et ouvrages en aluminium,export,2024,12344,13083,2025
Aluminium et ouvrages en aluminium,export,2025,10101,9067,2025
Plomb et ouvrages en plomb,export,2021,5877,4954,2025
Plomb et ouvrages en plomb,export,2022,8002,6498,2025
Plomb et ouvrages en plomb,export,2023,10022,7427,2025
Plomb et ouvrages en plomb,export,2024,9414,7445,2025
Plomb et ouvrages en plomb,export,2025,8877,8526,2025
Zinc et ouvrages en zinc,export,2021,12,6,2025
Zinc et ouvrages en zinc,export,2022,217,284,2025
Zinc et ouvrages en zinc,export,2023,111,470,2025
Zinc et ouvrages en zinc,export,2024,369,1385,2025
Zinc et ouvrages en zinc,export,2025,497,1146,2025
Étain et ouvrages en étain,export,2021,97,970,2025
Étain et ouvrages en étain,export,2022,46,460,2025
Étain et ouvrages en étain,export,2023,,,2025
Étain et ouvrages en étain,export,2024,,,2025
Étain et ouvrages en étain,export,2025,,,2025
"Autres métaux communs, cermets, ouvrages en ces matières",export,2021,502,8533,2025
